CNPJ,Endereço Completo,Latitude,Longitude,Região
,"Rua CORA CORALINA, 195, Anhanguera, Praia Grande, São Paulo",-24.0199067,-46.4894587,
,"Avenida Benedito Storani, 762, Residencial Aquario, Vinhedo, São Paulo",-23.02972,-46.97528,
,"Avenida PREFEITO ANTONIO J.TOLEDO GARCIA LOPES, 1525, Jd.das Cerejeiras, Atibaia, São Paulo",-23.11694,-46.55028,
,"Rua ANTONIO JOAQUIM LEME, 02, Vila Prudente de Moraes, Itu, São Paulo",-23.285001,-47.2893848,
,"Rua HAMLETO MENQUINI, 41, PARQUE RES.POTIGUARA, Itu, São Paulo",-23.26417,-47.29917,
,"Avenida VINICIUS DE MORAES, 143, VILA SAO PAULO, Ferraz de Vasconcelos, São Paulo",-23.5578807,-46.3669865,
,"Rua REGENTE FEIJO, 166, VILA SAO FRANCISCO, Mauá, São Paulo",-23.6726791,-46.4503303,
,"Rua ALFREDO CARLOS SAO JOSE, 47, JD EUROPA, Itupeva, São Paulo",-23.15306,-47.05778,
,"Rua SANTA CLARA, 175, Residencial Santo Antonio, Itupeva, São Paulo",-23.1624922,-47.0454896,
,"Avenida Professor José Munhoz, 685, Jardim Munhoz, Guarulhos, São Paulo",-23.46278,-46.53333,
,"Rua PERNAMBUCO, 18, Vila Sanches, Juquiá, São Paulo",-24.3152139,-47.6323946,
,"Rua EDNA FERBER, 359, PARQUE BELEM, São Paulo, São Paulo",-23.4650898,-46.6842514,
,"Rua EDSON PETRI, 215, COLINAS MAIRIPORA II, Mairiporã, São Paulo",-23.2731589,-46.5904345,
,"Praça COMANDANTE EDUARDO DE OLIVEIRA, 126, Parque Edu Chaves, São Paulo, São Paulo",-23.4762218,-46.5644893,
,"Rua PEROLA, 350, JARDIM SANTA ESMERALDA, Hortolândia, São Paulo",-22.9081539,-47.194098,
,"Avenida ITABERABA, 4418, Itaberaba, São Paulo, São Paulo",-23.474322,-46.668385,
,"Avenida NOVA CANTAREIRA, 3381, Tucuruvi, São Paulo, São Paulo",-23.47093,-46.617617,
,"Rua ALBERTO BORGES SOVERAL, 09, Pq.Novo Santo Amaro, São Paulo, São Paulo",-23.6924523,-46.7832438,
,"Avenida SALVADOR MARKOWICZ, 339, Lagos de Santa Helena, Bragança Paulista, São Paulo",-22.9806161,-46.5299192,
,"Rua JOSEFA ALVES SIQUEIRA, 5891, JARDIM ANHANGUERA, Praia Grande, São Paulo",-24.00583,-46.40278,
,"Rua MARINA, 1081, Centro, Mongaguá, São Paulo",-24.09306,-46.62083,
,"Avenida NOSSA SENHORA DE FATIMA, 430, Agenor de Campos, Mongaguá, São Paulo",-24.127765,-46.6898597,
,"Avenida NOSSA SENHORA DE FATIMA, 430, Agenor de Campos, Mongaguá, São Paulo",-24.127765,-46.6898597,
,"Avenida VEREADOR ALVARO GUIMARAES, 148, Radio Clube, Santos, São Paulo",-23.96083,-46.33361,
,"Avenida MARTINS FONTES, 1101, Vila Nova, Cubatão, São Paulo",-23.895,-46.42528,
,"Avenida MARCOLINO XAVIER DE CARVALHO, 313, CIDADE NAUTICA, São Vicente, São Paulo",-23.9430138,-46.417987,
,"Avenida SANTOS DUMONT, 1503, SITIO PAECARA (VICENTE DE CARV, Guarujá, São Paulo",-23.9540438,-46.2912372,
,"Avenida ANCHIETA, 2300, ALBATROZ, Bertioga, São Paulo",-23.8376018,-46.1298621,
,"Avenida ANCHIETA, 2300, ALBATROZ, Bertioga, São Paulo",-23.8376018,-46.1298621,
,"Avenida LUCIANO DE BONA, 2027, Vila Romar, Peruíbe, São Paulo",-24.2936254,-46.9770747,
,"Avenida LUCIANO DE BONA, 2027, Vila Romar, Peruíbe, São Paulo",-24.2936254,-46.9770747,
,"Rua ANTONIO CANDIDO DA SILVA, 57, VILA SONIA, Praia Grande, São Paulo",-23.9999472,-46.4461932,
,"Rua ANTONIO CANDIDO DA SILVA, 57, VILA SONIA, Praia Grande, São Paulo",-23.9999472,-46.4461932,
,"Avenida JOAQUIM JORGE PERALTA, 166, PARQUE SAO LUIS, Cubatão, São Paulo",-23.895,-46.42528,
,"Avenida DOS CAICARAS, 1682, Jardim Las Palmas, Guarujá, São Paulo",-23.99306,-46.25639,
,"Rua BENEDITA CUSTODIO, 175, Samambaia, Praia Grande, São Paulo",-24.0329352,-46.5216928,
,"Rua BENEDITA CUSTODIO, 175, Samambaia, Praia Grande, São Paulo",-24.0329352,-46.5216928,
,"Avenida SANTISTA, 833, MORRO DE NOVA CINTRA, Santos, São Paulo",-23.9458312,-46.3552528,
,"Estrada DO CASCALHO, 415, BOICUCANGA, São Sebastião, São Paulo",-23.7787433,-45.6144153,
,"Estrada DO CASCALHO, 415, BOICUCANGA, São Sebastião, São Paulo",-23.7787433,-45.6144153,
,"Rua FREI GASPAR, 2000, PARQUE SAO VICENTE, São Vicente, São Paulo",-23.9611945,-46.3951659,
,"Rua FREI GASPAR, 2000, PARQUE SAO VICENTE, São Vicente, São Paulo",-23.9593943,-46.3987638,
,"Avenida ANA COSTA, 364, Gonzaga, Santos, São Paulo",-23.9600667,-46.3318742,
,"Avenida ANA COSTA, 364, Gonzaga, Santos, São Paulo",-23.963222,-46.3323295,
,"Rua PORTO ALEGRE, 540, Rochdale, Osasco, São Paulo",-23.5119988,-46.779681,
,"Avenida SAMUEL MARTINS, 1979, Jardim do Lago, Jundiaí, São Paulo",-23.2166175,-46.8633255,
,"Avenida PROFESSOR CASTRO JUNIOR, 363, Vila Sabrina, São Paulo, São Paulo",-23.4957893,-46.5757236,
,"Rua USHIMA KIRA, S/N, Granja Viana, Cotia, São Paulo",-23.5920398,-46.8348449,
,"Rua ANTONIO JOAQUIM LEME, 2, Vila Prudente de Moraes, Itu, São Paulo",-23.285001,-47.2893848,
,"Rua JOSE OLIVA MELO, 85, Centro, Biritiba-Mirim, São Paulo",-23.5731197,-46.0391715,
,"Rua GASTAO DE SOUXA OLIVEIRA, 422, Quietude, Praia Grande, São Paulo",-24.00583,-46.40278,
,"Praça DA INDEPENDENCIA, 218, Centro, Itu, São Paulo",-23.2657218,-47.2983342,
,"Rua MUNIZ DE SOUZA, 918, Aclimação, São Paulo, São Paulo",-23.5708485,-46.627986,
,"Rua das Rosas, 495, Mirandópolis, São Paulo, São Paulo",-23.6061623,-46.6415406,
,"Rua DO CONHECIMENTO, 1233, Melvi, Praia Grande, São Paulo",-24.0347778,-46.5302849,
,"Rua PADRE CICERO ROMAO BATISTA, 234, Parque Imperial, Barueri, São Paulo",-23.4886307,-46.8133445,
,"Estrada MARIO FREITAS DA SILVA -MATO DENTRO S/N, 5, MATO DENTRO, Mairiporã, São Paulo",-23.2885142,-46.6311519,
,"Rua AUGUSTO CARLOS BAUMAN, 980, Itaquera, São Paulo, São Paulo",-23.5354173,-46.4522131,
,"Rua SAO MIGUEL DO TAPUIO, 49, Jardim Peri, São Paulo, São Paulo",-23.4536671,-46.6639692,
,"Avenida CASSIANO RICARDO, 401, Pq. Residencial Aquarius, São José dos Campos, São Paulo",-23.2157301,-45.9094568,
,"Avenida DOUTOR ADHEMAR DE BARROS, 563, JD.SAO DIMAS, São José dos Campos, São Paulo",-23.1953942,-45.8909157,
,"Rua DOUTOR AALTINO ARANTES, 1014, JD GUADALUPE, Sorocaba, São Paulo",-23.50167,-47.45806,
,"Rua SANTO ANTONIO, 569, Bela Vista, São Paulo, São Paulo",-23.5572224,-46.6481436,
,"Avenida PASCHOAL SANTI, 957, Vilarejo, Cabreúva, São Paulo",-23.2755188,-47.0599521,
,"Avenida SANTA MARINA, 2459, Vila Albertina, São Paulo, São Paulo",-23.5475,-46.63611,
,"Avenida ADUTORA, 80, Jardim Nova Poá, Poá, São Paulo",-23.5533733,-46.3447391,
,"Avenida ROSA BELMIRO RAMOS, 92, Ortizes, Valinhos, São Paulo",-22.9780597,-46.9888118,
,"Estrada MUNICIPAL DA CAPELA, S/N, VISTA ALEGRE, Vinhedo, São Paulo",-23.02972,-46.97528,
,"Avenida RINALDI, 1100, RES.CORACAO DE JESUS, Jaguariúna, São Paulo",-22.6761408,-46.9920567,
,"Rua DR.ARTHUR MOREIRA DE ALMEIDA, 384, VILA SAO JOSE, Pedreira, São Paulo",-22.7476542,-46.8985023,
