Endereço Completo,Latitude,Longitude,Região
"Rua Rafael Dias Costa, 140, Dona Catarina, São Roque, São Paulo",-23.4214027,-47.1647888,São Roque
"Avenida Paschoal Santi, 957, Vilarejo, Cabreúva, São Paulo",-23.2828843,-47.0587768,Cabreúva
"Rua Josefa Alves Siqueira, 5891, Jardim Anhanguera, Praia Grande, São Paulo",-24.00583,-46.40278,Praia Grande
"Avenida Flora, 829, Jardim Jaguaribe, Osasco, São Paulo",-23.5613402,-46.79033,Osasco
"Rua Marina, 1081, Centro, Mongaguá, São Paulo",-24.09306,-46.62083,Mongaguá
"Avenida Nossa Senhora De Fatima, 430, Agenor De Campos, Mongaguá, São Paulo",-24.127765,-46.6898597,Mongaguá
"Rua Guilherme Raposo De Almeida, 373, Cidade Nautica, São Vicente, São Paulo",-23.96306,-46.39194,São Vicente
"Avenida Vereador Alvaro Guimaraes, 148, Radio Clube, Santos, São Paulo",-23.96083,-46.33361,Santos
"Avenida Martins Fontes, 1101, Vila Nova, Cubatão, São Paulo",-23.895,-46.42528,Cubatão
"Avenida Santos Dumont, 1503, Sitio Paecara (Vicente De Carv, Guarujá, São Paulo",-23.9540438,-46.2912372,Guarujá
"Avenida Anchieta, 2300, Albatroz, Bertioga, São Paulo",-23.8376018,-46.1298621,Bertioga
"Rua Afonso Chaves, 1083, Cidade Ocian, Praia Grande, São Paulo",-24.00583,-46.40278,Praia Grande
"Rua Julio Prestes, 1055, Centro, Sete Barras, São Paulo",-24.3840612,-47.9284094,Sete Barras
"Rua Itapeva, 142, Bela Vista, São Paulo, São Paulo",-23.5582442,-46.6508379,São Paulo
"Avenida Luciano De Bona, 2027, Vila Romar, Peruíbe, São Paulo",-24.2936254,-46.9770747,Peruíbe
"Rua Antonio Candido Da Silva, 57, Vila Sonia, Praia Grande, São Paulo",-23.9999472,-46.4461932,Praia Grande
"Avenida Aprovada 294, 775, Boraceia, Bertioga, São Paulo",-23.85444,-46.13861,Bertioga
"Avenida Joaquim Jorge Peralta, 166, Parque Sao Luis, Cubatão, São Paulo",-23.895,-46.42528,Cubatão
"Avenida Dos Caicaras, 1682, Jardim Las Palmas, Guarujá, São Paulo",-23.9999291,-46.273905,Guarujá
"Rua Benedita Custodio, 175, Samambaia, Praia Grande, São Paulo",-24.0329352,-46.5216928,Praia Grande
"Avenida Santista, 833, Morro De Nova Cintra, Santos, São Paulo",-23.9458312,-46.3552528,Santos
"Rua Soldado Constitucionalista, 54, Jardim Soares, Itapira, São Paulo",-22.43611,-46.82167,Itapira
"Rua Corrientes, 14, Lapa, São Paulo, São Paulo",-23.5220098,-46.7114385,São Paulo
"Rua Carlos Oliveira Rodrigues, 101, Jardim Josane, Sorocaba, São Paulo",-23.4520305,-47.3701706,Sorocaba
